	bioproject	Title	collection_date	geo_loc_name	lat_lon	isolate	depth	elev	isolation_source	host	sample_type	description	env_broad_scale	env_local_scale	env_medium	BioSampleModel	replicate	harvest	isotope	fraction	density.g.ml	qPCR.16S.copies.ul	leaf	BioProject	Unnamed: 2	env_biome	env_feature	env_material	host_taxid	ref_biomaterial	rel_to_oxygen	samp_collect_device	differentiation	host_disease	host_genotype	source_material_id	samp_mat_process	samp_size	loader	Attribute	host_height	strain	ecotype	isol_growth_condt	host_age	host_infra_specific_name	plant_body_site	host_health_status	Sample_identity	host_life_stage	air_temp_regm	climate_environment	Stefanie Glaeser	Ebru Aydogan	Peter Kaempfer	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	ENA first public	ENA last update	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Submitter Id	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	host-associated environmental package	investigation type	project name	sample name	sequencing method	replicates	fungicide_regm	miscellaneous environmental package	ID	envir_treatment	sample_ID	altitude	temp	tree_height	Plantation	Replicate	humidity_regm	mechanical_damage	radiation_regm	samp_store_loc	samp_store_temp	season_environment	cultivar	plot	Sequencing Technology	Plant ID	collected_by	agricultural_management	antibiotic_regm	biotic_relationship	chem_administration	chem_mutagen	extrachrom_elements	fertilizer_regm	gravity	growth_hormone_regm	growth_med	herbicide_regm	host_dry_mass	host_infra_specific_rank	host_length	host_phenotype	host_tot_mass	host_wet_mass	mineral_nutr_regm	misc_param	non_mineral_nutr_regm	omics_observ_id	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	plant_product	rainfall_regm	salt_regm	samp_salinity	samp_store_dur	samp_vol_we_dna_ext	standing_water_regm	subspecf_gen_lin	tiss_cult_growth_med	trophic_level	water_temp_regm	watering_regm	Site	Meter	TransectLocation	SiteDescription	PCC	d15N_NA	d15N	perc_N	C.N	Tree_density	BA_m2	perc.sw	perc.hw	Moisture	FixationRate	MAT	MAP	UV_light	Radiation	Olayer.depth	Perm.depth	pH
SAMN16508586	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	12	1.7030526	56065.02625	Gambel Oak																																																																																																																																									
SAMN16507866	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H1	18	14	1.735552	978.0418587	Arizona Ash																																																																																																																																									
SAMN16507794	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	16	17	1.725148	569.0086172	Arizona Ash																																																																																																																																									
SAMN16508585	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	11	1.700545	56222.40376	Gambel Oak																																																																																																																																									
SAMN16508584	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	10	1.6955298	42673.42076	Gambel Oak																																																																																																																																									
SAMN16508019	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N4	T0	16	whole DNA			Narrowleaf Cottonwood																																																																																																																																									
SAMN16508018	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	T0	16	whole DNA			Narrowleaf Cottonwood																																																																																																																																									
SAMN16508017	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	T0	16	whole DNA			Narrowleaf Cottonwood																																																																																																																																									
SAMN16508016	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	T0	16	whole DNA			Fremont Cottonwood																																																																																																																																									
SAMN16507809	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	18	16	1.743644	5458.226417	Arizona Ash																																																																																																																																									
SAMN16508015	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	T0	16	whole DNA			Fremont Cottonwood																																																																																																																																									
SAMN16508014	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F2	T0	16	whole DNA			Fremont Cottonwood																																																																																																																																									
SAMN16508013	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	T0	16	whole DNA			Arizona Ash																																																																																																																																									
SAMN16508012	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A3	T0	16	whole DNA			Arizona Ash																																																																																																																																									
SAMN16508011	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	T0	16	whole DNA			Arizona Ash																																																																																																																																									
SAMN16508010	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	18	9	1.677645	1968.856258	Arizona Ash																																																																																																																																									
SAMN16508009	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	18	8	1.673185	7630.11752	Arizona Ash																																																																																																																																									
SAMN16508008	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	18	7	1.668725	15836.2999	Arizona Ash																																																																																																																																									
SAMN16508007	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	18	6	1.664265	10940.15095	Arizona Ash																																																																																																																																									
SAMN16508006	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	18	5	1.659805	1874.26647	Arizona Ash																																																																																																																																									
SAMN16507808	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	18	15	1.73902	7130.93352	Arizona Ash																																																																																																																																									
SAMN16508005	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	18	4	1.657575	687.1623255	Arizona Ash																																																																																																																																									
SAMN16508004	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	18	3	1.653115	174.0614097	Arizona Ash																																																																																																																																									
SAMN16508003	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	18	20	1.717785	587.547724	Arizona Ash																																																																																																																																									
SAMN16508002	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	18	2	1.64754	90.16750217	Arizona Ash																																																																																																																																									
SAMN16508001	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	18	17	1.713325	44.56850192	Arizona Ash																																																																																																																																									
SAMN16508000	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A4	H2	18	16	1.70998	245.8175866	Arizona Ash																																																																																																																																									
